age,height,gender,birthdate
88.0,163.0,female,1942-02-27
29.0,158.0,female,1946-03-31
42.0,159.0,female,1946-09-13
25.0,179.0,male,1947-08-25
32.0,169.0,male,1954-01-24
32.0,169.0,male,1954-04-27
32.0,169.0,male,1955-01-07
32.0,169.0,male,1957-06-12
,162.0,male,1959-01-22
36.0,166.0,female,1962-04-16
1.0,165.0,female,1967-02-20
18.0,134.0,female,1967-09-09
31.0,149.0,female,1969-02-02
34.0,172.0,female,1974-02-01
22.0,174.0,female,1974-08-10
22.0,,male,1978-03-23
26.0,161.0,male,1981-07-28
45.0,181.0,female,1981-12-09
27.0,170.0,male,1983-02-10
1.0,173.0,female,1983-04-24
21.0,252.0,female,1986-12-03
26.0,65.0,female,1987-06-16
49.0,235.0,female,1989-03-24
,182.0,,1990-07-24
19.0,156.0,male,1994-09-13
32.0,161.0,female,1944-12-07
47.0,178.0,male,1948-12-10
25.0,167.0,female,1949-01-17
25.0,157.0,female,1949-08-20
20.0,150.0,female,1950-09-20
38.0,181.0,male,1954-07-26
21.0,156.0,female,1955-02-05
,181.0,female,1955-12-19
49.0,174.0,male,1962-06-27
18.0,203.0,male,1963-08-12
44.0,142.0,male,1967-10-12
22.0,156.0,female,1972-09-05
18.0,158.0,male,1976-10-03
25.0,168.0,female,1978-09-23
29.0,168.0,female,1982-07-18
19.0,169.0,female,1985-12-24
43.0,191.0,male,1988-04-06
31.0,161.0,female,1991-01-14
18.0,168.0,female,1991-04-30
23.0,174.0,male,1993-05-22
73.0,180.0,male,1994-11-02
18.0,168.0,female,1996-04-30
,185.0,male,1997-09-13
24.0,160.0,female,1997-12-18
23.0,152.0,male,1998-12-29
300000000.0,184.0,female,1947-07-05
63.0,170.0,male,1954-06-10
23.0,177.0,male,1955-03-24
41.0,184.0,male,1959-05-26
50.0,182.0,female,1959-12-23
1.0,152.0,female,1962-02-28
63.0,184.0,male,1964-03-05
1.0,145.0,female,1966-12-07
59.0,182.0,female,1966-12-18
36.0,157.0,male,1968-09-02
27.0,168.0,male,1972-01-17
20.0,184.0,female,1975-01-07
29.0,170.0,male,1975-08-04
26.0,168.0,female,1975-12-19
1.0,174.0,female,1976-10-25
47.0,176.0,female,1979-05-01
22.0,159.0,female,1982-01-15
24.0,143.0,male,1983-02-08
26.0,170.0,female,1983-06-30
31.0,182.0,female,1983-10-10
26.0,182.0,female,1986-08-02
21.0,147.0,male,1991-09-22
21.0,175.0,male,1994-03-12
31.0,180.0,male,1997-04-09
30.0,172.0,female,1999-04-25
30.0,146.0,female,1940-06-28
1.0,158.0,female,1941-04-16
27.0,163.0,male,1946-03-04
18.0,180.0,male,1947-05-01
,173.0,male,1956-06-08
21.0,,male,1958-09-26
46.0,175.0,male,1965-11-24
,144.0,female,1968-07-03
101.0,196.0,,1970-02-09
36.0,153.0,female,1970-09-10
21.0,183.0,female,1971-01-21
22.0,181.0,female,1972-02-23
30.0,167.0,male,1974-01-12
49.0,177.0,,1974-05-01
27.0,159.0,female,1975-09-20
20.0,182.0,male,1978-04-24
19.0,177.0,female,1981-10-07
38.0,160.0,female,1982-03-06
27.0,169.0,male,1984-12-10
24.0,204.0,female,1986-06-06
43.0,147.0,,1988-02-20
27.0,174.0,female,1991-10-17
25.0,119.0,female,1996-11-03
18.0,175.0,male,1997-04-11
36.0,201.0,male,1997-04-20
43.0,182.0,female,1940-01-30
27.0,167.0,,1943-12-24
20.0,159.0,,1945-11-11
25.0,155.0,male,1946-04-10
19.0,167.0,male,1951-02-15
24.0,173.0,female,1959-02-24
51.0,171.0,male,1960-03-13
41.0,163.0,female,1960-07-28
62.0,172.0,female,1963-06-11
25.0,148.0,male,1966-10-27
28.0,180.0,female,1968-09-30
36.0,159.0,female,1969-01-10
28.0,166.0,female,1972-05-28
27.0,197.0,,1974-10-31
224.0,166.0,male,1976-01-22
30.0,168.0,female,1981-03-21
21.0,152.0,male,1982-01-26
32.0,136.0,male,1983-01-05
57.0,199.0,male,1984-02-26
18.0,170.0,female,1984-12-26
30.0,160.0,female,1986-02-12
41.0,,male,1989-01-29
1.0,168.0,female,1989-11-11
36.0,165.0,female,1990-10-22
,144.0,male,1995-11-30
27.0,166.0,female,1941-03-13
22.0,151.0,female,1941-09-27
18.0,188.0,male,1947-03-14
20.0,197.0,female,1952-11-22
27.0,171.0,male,1953-07-21
32.0,175.0,male,1956-05-16
21.0,156.0,female,1957-03-12
19.0,152.0,male,1964-07-31
40.0,156.0,female,1966-01-16
18.0,160.0,female,1968-07-20
35.0,196.0,male,1969-02-21
44.0,158.0,female,1969-12-29
31.0,177.0,female,1970-11-28
21.0,149.0,female,1971-03-30
26.0,147.0,male,1974-02-15
18.0,190.0,female,1981-02-09
37.0,167.0,female,1983-08-30
72.0,141.0,female,1984-05-05
27.0,177.0,female,1984-09-08
37.0,,male,1985-01-12
43.0,136.0,female,1991-07-22
29.0,181.0,male,1991-10-24
1.0,182.0,female,1996-07-22
22.0,157.0,female,1998-08-04
20.0,176.0,female,1998-08-20
35.0,155.0,female,1940-06-11
18.0,149.0,female,1941-10-20
30.0,190.0,female,1942-06-03
21.0,176.0,male,1946-02-13
20.0,196.0,female,1949-12-28
45.0,158.0,female,1950-02-05
87.0,168.0,female,1950-06-25
48.0,168.0,female,1950-07-11
40.0,162.0,male,1953-12-20
32.0,165.0,female,1955-06-03
,208.0,female,1956-08-02
32.0,119.0,male,1956-09-01
32.0,159.0,female,1957-08-22
22.0,152.0,male,1959-06-15
20.0,189.0,male,1969-01-04
32.0,154.0,female,1974-01-08
22.0,177.0,male,1976-01-29
109.0,162.0,female,1981-12-15
26.0,131.0,female,1984-03-11
26.0,176.0,female,1984-06-05
25.0,188.0,female,1985-07-10
29.0,169.0,female,1987-04-07
21.0,154.0,female,1988-10-18
20.0,175.0,male,1991-07-17
24.0,189.0,,2000-08-22
65.0,198.0,female,1941-04-05
25.0,169.0,male,1948-10-03
28.0,182.0,male,1949-04-29
33.0,167.0,female,1950-09-01
73.0,176.0,male,1953-03-20
22.0,168.0,male,1953-08-19
50.0,189.0,male,1955-06-12
68.0,164.0,female,1956-08-18
21.0,153.0,,1959-05-20
22.0,173.0,female,1961-07-04
19.0,184.0,female,1964-08-18
23.0,166.0,male,1966-01-12
19.0,168.0,female,1970-11-12
30.0,158.0,male,1973-02-18
36.0,163.0,male,1976-08-31
66.0,177.0,female,1977-02-17
57.0,161.0,female,1978-07-13
23.0,170.0,female,1979-11-13
26.0,165.0,female,1981-01-28
25.0,155.0,male,1984-03-13
27.0,192.0,female,1986-09-10
23.0,184.0,female,1988-07-07
31.0,173.0,male,1992-06-16
,165.0,male,1992-09-14
32.0,195.0,female,1996-09-27
