Year,GDP Growth,Consumption Growth,Investment Growth,Government Purchases Growth,Exports Growth,Imports Growth,Capital Growth,Labor Growth
1948-01-01,2.8,2.4,21.1,-3.6,-14.8,18.4,3.5,1.9
1948-04-01,4.5,2.7,32.0,1.0,-30.6,14.1,3.8,1.8
1948-07-01,5.2,2.0,34.9,5.9,-29.0,25.1,4.2,2.3
1948-10-01,3.8,2.2,13.4,11.9,-22.5,15.8,4.7,0.4
1949-01-01,0.9,1.2,-11.6,14.4,-7.3,-2.5,4.9,-2.0
1949-04-01,-1.0,1.8,-33.5,15.4,2.0,-6.8,4.6,-3.6
1949-07-01,-0.5,2.1,-26.7,13.9,-7.1,-14.8,4.0,-5.4
1949-10-01,-1.5,3.3,-29.4,8.8,-16.8,-8.4,3.5,-4.8
1950-01-01,3.8,5.1,9.7,2.5,-30.3,0.6,3.0,-2.4
1950-04-01,7.1,4.9,37.1,-1.1,-26.8,8.5,3.1,1.8
1950-07-01,9.8,9.7,37.1,-3.6,-16.0,35.5,3.6,5.9
1950-10-01,12.6,5.2,56.0,3.2,6.8,36.8,4.2,7.2
1951-01-01,10.0,5.5,24.6,15.7,17.0,37.1,5.0,8.1
1951-04-01,8.8,1.1,17.2,25.7,28.1,31.7,5.4,6.5
1951-07-01,7.0,-2.6,-0.5,38.8,32.5,3.4,5.6,2.4
1951-10-01,5.4,1.3,-23.4,38.5,24.5,-3.2,5.5,1.5
1952-01-01,5.0,-0.1,-12.4,29.6,20.2,-1.1,5.0,0.5
1952-04-01,3.5,4.4,-25.3,23.0,-4.3,-5.3,4.6,-0.7
1952-07-01,2.2,3.2,-10.4,12.9,-19.8,4.4,4.1,1.0
1952-10-01,5.2,5.9,4.6,9.9,-18.8,13.7,3.9,3.6
1953-01-01,6.0,6.7,4.5,10.3,-22.9,3.6,3.9,4.0
1953-04-01,6.6,5.5,14.2,8.0,-10.4,10.0,3.9,4.6
1953-07-01,5.3,5.3,6.2,5.1,2.9,5.4,4.1,2.8
1953-10-01,0.5,1.5,-8.2,2.6,-1.5,-5.9,4.1,-1.4
1954-01-01,-1.8,0.6,-11.4,-2.1,-5.9,-7.7,3.9,-3.8
1954-04-01,-2.5,1.1,-12.4,-6.7,6.6,-2.3,3.7,-4.7
1954-07-01,-0.8,2.1,-4.7,-6.6,-0.1,-7.1,3.5,-4.1
1954-10-01,2.7,4.2,8.8,-6.5,8.0,-0.8,3.3,-1.3
1955-01-01,6.0,5.8,20.0,-4.1,17.4,8.1,3.4,1.7
1955-04-01,7.5,6.2,25.9,-1.3,1.7,4.1,3.7,3.7
1955-07-01,7.7,6.3,21.7,1.4,11.1,11.0,4.0,5.2
1955-10-01,6.4,5.1,21.4,-0.4,7.2,12.9,4.3,5.1
1956-01-01,3.2,2.6,10.0,0.1,8.4,12.3,4.6,4.1
1956-04-01,2.4,1.5,2.5,2.8,18.0,7.3,4.7,3.1
1956-07-01,1.0,0.5,0.9,0.5,14.8,6.5,4.6,1.6
1956-10-01,2.0,1.5,-5.6,5.0,20.0,-1.1,4.6,1.0
1957-01-01,3.0,2.1,-4.4,6.9,21.4,2.6,4.4,0.5
1957-04-01,1.9,1.8,-2.5,3.7,11.8,2.9,4.2,0.0
1957-07-01,3.0,2.9,-1.8,5.9,5.7,-0.5,4.1,-0.1
1957-10-01,0.4,1.8,-11.0,5.5,-3.1,3.1,4.0,-2.7
1958-01-01,-2.9,0.4,-17.7,1.7,-21.9,-5.5,3.8,-5.1
1958-04-01,-2.0,1.0,-20.0,5.1,-19.4,-3.0,3.5,-6.3
1958-07-01,-0.7,1.1,-11.7,4.9,-16.5,-2.5,3.2,-4.6
1958-10-01,2.6,1.4,9.5,4.6,-13.5,3.5,3.0,-1.1
1959-01-01,7.1,4.9,20.5,4.9,4.5,7.7,3.0,3.1
1959-04-01,8.8,6.0,30.2,2.8,8.3,9.8,3.3,6.5
1959-07-01,6.4,6.1,13.7,2.5,11.9,13.8,3.7,5.0
1959-10-01,4.4,5.5,6.6,-0.7,10.3,6.7,3.8,3.5
1960-01-01,4.8,4.0,13.5,-1.5,16.3,7.2,3.9,2.2
1960-04-01,2.0,3.7,-4.0,-1.5,18.5,2.9,4.0,0.5
1960-07-01,2.5,2.1,1.9,1.0,12.5,-1.4,3.9,0.2
1960-10-01,0.9,2.1,-14.3,3.5,16.1,-5.0,3.9,-0.7
1961-01-01,-0.7,1.4,-21.9,6.6,4.5,-8.3,3.6,-1.9
1961-04-01,1.5,1.0,-4.6,6.2,-1.9,-8.2,3.2,-2.3
1961-07-01,3.0,2.0,4.0,5.0,-0.3,0.7,3.1,-1.1
1961-10-01,6.2,3.5,19.0,6.1,1.8,8.6,3.1,1.1
1962-01-01,7.3,4.6,21.1,7.0,1.5,10.0,3.3,2.0
1962-04-01,6.5,4.8,12.7,7.1,10.1,11.6,3.6,3.4
1962-07-01,5.8,5.0,6.5,7.6,5.2,6.2,3.7,2.6
1962-10-01,4.2,4.7,1.2,6.1,-0.7,5.8,3.8,0.7
1963-01-01,3.5,4.3,0.6,3.7,1.8,2.6,3.7,0.9
1963-04-01,3.7,3.8,3.9,3.0,4.4,2.9,3.7,0.4
1963-07-01,4.7,4.6,5.4,4.5,4.4,5.3,3.7,0.9
1963-10-01,5.0,3.6,10.5,3.5,11.0,3.0,3.7,2.3
1964-01-01,6.1,5.1,8.9,4.6,14.7,5.5,3.8,3.5
1964-04-01,6.0,5.9,6.9,5.4,5.7,5.2,3.9,3.3
1964-07-01,5.4,6.0,5.6,2.3,11.1,4.4,3.9,3.7
1964-10-01,5.0,5.8,5.6,2.0,10.3,7.5,4.0,3.9
1965-01-01,5.3,5.7,11.9,1.3,-4.9,3.8,4.0,3.6
1965-04-01,5.5,5.1,12.1,1.7,9.8,11.7,4.1,4.1
1965-07-01,6.2,5.0,13.5,4.9,4.1,10.1,4.3,3.7
1965-10-01,8.1,7.3,13.1,8.0,6.7,12.6,4.4,3.7
1966-01-01,8.1,6.8,10.9,9.8,15.3,18.4,4.6,3.6
1966-04-01,7.2,5.9,9.7,10.3,3.4,10.7,4.7,3.6
1966-07-01,5.9,5.2,5.6,9.6,6.0,14.6,4.8,3.8
1966-10-01,4.4,3.1,5.4,8.3,3.8,10.2,4.8,2.6
1967-01-01,2.9,2.0,-4.0,10.4,8.0,8.8,4.8,1.1
1967-04-01,2.6,3.0,-7.0,8.7,2.0,4.7,4.6,-0.5
1967-07-01,2.7,2.6,-3.0,6.8,2.1,0.6,4.4,-0.7
1967-10-01,2.7,2.6,-1.7,6.7,0.5,4.2,4.3,0.1
1968-01-01,3.8,4.5,2.8,4.5,-0.3,8.3,4.2,0.3
1968-04-01,5.3,4.6,10.3,5.1,4.4,11.0,4.2,1.9
1968-07-01,5.2,6.0,4.4,4.5,11.3,15.7,4.3,2.3
1968-10-01,4.8,5.8,4.0,3.7,6.9,9.9,4.3,2.4
1969-01-01,4.4,4.6,7.9,1.7,-7.8,-5.8,4.3,3.2
1969-04-01,3.0,3.8,3.6,1.1,8.2,10.2,4.3,3.2
1969-07-01,2.9,2.2,8.1,1.4,2.3,3.3,4.3,2.9
1969-10-01,2.0,2.7,1.5,-0.1,8.9,4.7,4.4,2.0
1970-01-01,0.3,2.0,-7.9,0.6,20.4,14.7,4.3,0.7
1970-04-01,0.2,1.5,-6.2,-0.3,6.3,-0.8,4.1,-1.5
1970-07-01,0.4,2.2,-7.0,-0.0,7.5,2.5,4.0,-2.5
1970-10-01,-0.1,1.3,-7.7,1.5,2.9,3.7,3.8,-3.0
1971-01-01,2.7,2.2,7.0,0.5,5.3,4.2,3.6,-2.1
1971-04-01,3.1,2.8,9.1,1.7,-0.9,8.7,3.7,-0.5
1971-07-01,3.0,2.5,9.9,0.7,3.0,9.8,3.8,0.0
1971-10-01,4.3,4.3,12.7,0.4,-6.0,2.0,3.9,1.9
1972-01-01,3.4,3.8,7.0,2.8,3.7,16.0,4.0,2.6
1972-04-01,5.1,4.9,10.0,3.6,2.3,8.1,4.0,3.0
1972-07-01,5.3,5.6,10.4,1.3,5.0,8.4,4.1,3.6
1972-10-01,6.6,6.0,14.6,2.5,18.9,20.3,4.2,3.5
1973-01-01,7.3,7.1,13.8,1.8,16.3,12.8,4.4,3.8
1973-04-01,6.1,5.6,11.9,0.5,26.4,17.7,4.6,4.1
1973-07-01,4.7,4.4,6.7,0.7,25.3,14.8,4.7,4.3
1973-10-01,3.9,2.3,9.3,0.1,28.1,15.5,4.7,3.7
1974-01-01,0.7,0.6,-1.9,0.7,25.6,18.3,4.8,1.8
1974-04-01,-0.2,1.0,-4.7,2.0,24.0,28.8,4.7,1.0
1974-07-01,-0.6,0.9,-6.6,4.0,17.0,29.2,4.5,-0.0
1974-10-01,-1.9,-0.7,-9.9,4.0,13.9,22.5,4.4,-2.2
1975-01-01,-2.3,-0.4,-19.8,2.7,8.8,2.1,4.1,-4.9
1975-04-01,-1.8,0.2,-22.6,1.3,-1.8,-21.1,3.8,-6.1
1975-07-01,0.8,1.5,-10.6,2.1,-2.6,-17.4,3.4,-4.9
1975-10-01,2.5,4.4,-9.0,2.5,-2.9,-13.1,3.2,-1.5
1976-01-01,6.0,6.0,16.1,2.1,-4.4,4.7,3.0,3.3
1976-04-01,6.0,5.4,22.7,1.6,1.5,19.0,3.2,4.3
1976-07-01,4.8,5.1,16.4,-0.5,7.4,19.4,3.5,3.8
1976-10-01,4.2,5.2,15.0,-1.4,4.0,18.4,3.6,2.6
1977-01-01,3.2,4.5,11.1,-0.8,2.3,18.3,3.8,2.0
1977-04-01,4.4,4.6,13.0,1.1,3.9,15.8,3.9,3.9
1977-07-01,5.6,4.5,17.2,2.1,0.7,10.1,4.1,4.5
1977-10-01,4.9,4.2,16.0,2.0,-5.3,7.8,4.3,5.0
1978-01-01,4.1,3.6,12.6,1.1,-0.5,7.9,4.5,4.4
1978-04-01,5.9,5.1,12.2,2.2,7.3,6.5,4.6,5.4
1978-07-01,5.1,4.4,10.2,2.6,9.3,9.1,4.7,5.1
1978-10-01,6.5,4.2,13.0,3.4,19.3,9.8,4.8,5.4
1979-01-01,6.3,4.0,11.7,2.7,17.8,4.9,5.0,5.6
1979-04-01,2.6,1.9,5.7,1.0,9.2,7.3,5.1,3.2
1979-07-01,2.4,2.7,1.9,1.1,11.9,9.6,5.1,3.2
1979-10-01,1.3,2.8,-2.2,1.8,12.9,15.2,5.1,2.2
1980-01-01,1.4,3.0,-3.2,4.2,15.2,19.5,4.9,1.2
1980-04-01,-0.8,0.7,-12.1,4.3,14.5,10.2,4.8,-1.0
1980-07-01,-1.6,0.5,-18.2,2.2,11.0,-0.3,4.5,-2.3
1980-10-01,-0.0,0.8,-8.6,1.6,5.0,-2.8,4.1,-1.2
1981-01-01,1.7,0.6,1.4,1.1,3.3,-4.7,3.9,-0.4
1981-04-01,3.0,2.4,6.7,0.7,1.3,0.2,3.9,1.4
1981-07-01,4.3,1.6,18.7,1.3,-2.8,1.6,3.9,1.8
1981-10-01,1.3,-0.6,7.4,2.2,-3.9,-1.4,4.2,0.2
1982-01-01,-2.5,-0.5,-12.0,0.9,-11.0,-10.1,4.2,-2.0
1982-04-01,-1.2,-0.2,-8.9,1.5,-10.8,-13.6,4.0,-1.7
1982-07-01,-2.7,0.4,-15.4,2.8,-13.7,-6.1,3.8,-2.3
1982-10-01,-1.4,3.4,-21.0,3.1,-19.0,-13.1,3.5,-2.9
1983-01-01,1.6,3.8,-8.5,4.0,-12.5,-9.2,3.1,-0.6
1983-04-01,3.3,5.9,-0.7,4.2,-11.8,2.1,3.0,0.1
1983-07-01,5.6,7.0,5.9,5.3,-4.1,6.8,2.9,2.7
1983-10-01,7.5,6.7,23.6,1.4,4.5,16.1,3.0,5.5
1984-01-01,8.2,6.6,30.0,2.4,4.4,23.8,3.3,6.8
1984-04-01,7.7,5.9,25.2,3.7,6.7,20.9,3.6,7.0
1984-07-01,6.7,4.6,21.7,3.0,6.0,14.2,4.0,5.5
1984-10-01,5.5,4.4,11.3,6.8,4.0,11.7,4.2,4.3
1985-01-01,4.5,5.3,-1.1,6.2,0.9,-1.1,4.4,3.2
1985-04-01,3.7,4.9,-2.3,6.0,-2.6,-0.3,4.3,2.6
1985-07-01,4.2,6.3,-5.0,7.5,-5.8,-1.9,4.2,2.4
1985-10-01,4.2,5.4,0.4,6.2,-4.0,2.3,4.0,2.2
1986-01-01,4.1,4.7,4.1,5.4,0.1,7.8,4.0,1.2
1986-04-01,3.7,4.1,1.3,5.2,1.5,3.8,4.0,0.4
1986-07-01,3.1,3.9,-0.2,5.3,5.6,8.5,3.9,0.6
1986-10-01,2.9,4.2,-3.9,4.2,7.4,4.7,3.9,0.9
1987-01-01,2.7,3.5,-1.2,4.5,5.0,6.3,3.7,2.2
1987-04-01,3.3,4.6,-0.1,3.6,9.7,10.0,3.7,3.0
1987-07-01,3.2,4.1,2.1,1.6,12.2,9.2,3.6,3.2
1987-10-01,4.4,3.6,8.7,2.8,12.8,10.8,3.6,3.5
1988-01-01,4.2,5.0,1.2,1.7,18.9,9.8,3.7,2.4
1988-04-01,4.4,4.2,3.3,1.1,17.9,5.1,3.6,3.2
1988-07-01,4.1,3.8,3.5,0.3,16.1,2.9,3.6,2.8
1988-10-01,3.8,4.9,-2.0,1.1,13.7,2.9,3.6,2.9
1989-01-01,4.2,3.6,6.1,1.5,10.7,3.7,3.5,3.8
1989-04-01,3.7,3.5,2.8,2.7,10.2,4.6,3.6,2.7
1989-07-01,3.8,3.4,2.0,4.0,8.0,1.9,3.6,2.7
1989-10-01,2.7,2.6,-0.2,2.9,6.4,0.5,3.5,1.6
1990-01-01,2.8,3.3,-3.0,4.8,6.8,3.2,3.5,0.9
1990-04-01,2.4,2.7,-2.2,3.4,3.8,-0.3,3.4,0.1
1990-07-01,1.7,2.6,-3.3,2.6,4.9,3.8,3.3,-0.6
1990-10-01,0.6,1.9,-8.7,3.6,6.0,4.1,3.2,-1.1
1991-01-01,-0.9,-0.1,-12.6,2.2,2.6,-4.7,3.1,-2.4
1991-04-01,-0.5,0.4,-12.4,2.1,4.6,-3.5,2.9,-2.6
1991-07-01,-0.1,0.1,-8.6,1.7,4.7,-4.5,2.7,-2.2
1991-10-01,1.2,0.4,0.3,-0.1,5.0,-4.3,2.5,-1.9
1992-01-01,2.9,3.3,1.0,0.7,6.3,1.6,2.5,-1.5
1992-04-01,3.2,3.3,6.6,0.9,3.5,4.8,2.5,-0.5
1992-07-01,3.7,4.1,5.7,1.9,4.2,6.6,2.5,-0.2
1992-10-01,4.2,5.2,5.6,1.8,2.0,5.4,2.6,0.6
1993-01-01,3.2,3.6,10.1,-0.5,0.5,5.6,2.6,2.1
1993-04-01,2.7,3.8,5.4,-0.7,1.9,6.0,2.7,2.8
1993-07-01,2.3,3.5,4.3,-1.3,-0.7,3.5,2.7,3.2
1993-10-01,2.6,3.2,6.3,-0.8,2.3,5.6,2.7,3.5
1994-01-01,3.4,3.8,8.1,-0.6,3.5,6.4,2.8,3.3
1994-04-01,4.1,3.7,12.4,0.2,5.8,8.6,2.9,3.8
1994-07-01,4.2,3.7,11.2,1.8,10.4,12.7,3.0,4.3
1994-10-01,4.1,3.8,10.5,1.0,10.1,12.4,3.1,3.8
1995-01-01,3.4,2.9,7.7,2.5,11.6,13.0,3.2,3.7
1995-04-01,2.4,3.1,0.9,2.3,10.1,10.9,3.3,1.9
1995-07-01,2.7,3.0,2.0,0.2,10.0,6.2,3.2,1.9
1995-10-01,2.2,2.7,0.2,0.2,8.1,3.5,3.2,1.7
1996-01-01,2.6,3.4,0.1,0.3,6.2,3.5,3.2,1.4
1996-04-01,3.9,3.8,6.6,0.6,5.4,2.9,3.1,2.5
1996-07-01,4.0,3.7,10.6,1.2,1.6,5.5,3.2,2.2
1996-10-01,4.4,4.0,8.6,2.6,5.7,7.1,3.3,3.1
1997-01-01,4.5,3.9,9.8,2.2,6.2,7.4,3.3,3.8
1997-04-01,4.2,3.0,9.7,2.2,8.9,7.1,3.4,3.3
1997-07-01,4.6,3.8,8.0,2.1,10.8,7.8,3.5,3.0
1997-10-01,4.3,4.1,9.0,1.8,5.3,7.4,3.6,2.4
1998-01-01,4.5,4.0,10.7,1.1,3.6,5.6,3.7,2.2
1998-04-01,4.0,5.3,5.3,2.2,-1.8,5.4,3.8,2.2
1998-07-01,4.0,5.0,5.7,3.2,-5.1,2.5,3.8,1.8
1998-10-01,4.9,5.2,7.6,4.0,-1.3,4.3,3.8,2.5
1999-01-01,4.7,5.1,6.4,5.4,-1.5,4.9,3.9,1.7
1999-04-01,4.5,5.0,7.0,4.5,1.1,7.8,3.9,1.8
1999-07-01,4.5,5.1,6.8,5.1,5.4,12.6,4.0,2.3
1999-10-01,4.6,5.3,6.6,5.9,4.8,13.2,4.0,1.4
2000-01-01,4.1,6.1,3.1,5.0,7.3,16.5,4.1,2.1
2000-04-01,5.1,5.3,9.4,4.9,9.5,15.4,4.1,1.7
2000-07-01,4.0,5.0,5.9,3.4,9.1,14.5,4.1,1.2
2000-10-01,2.8,4.3,3.1,2.1,5.3,10.9,4.2,0.4
2001-01-01,2.3,3.2,-1.3,3.9,1.6,3.3,4.2,-0.2
2001-04-01,0.9,2.3,-7.7,4.3,-6.1,-5.2,4.1,-1.5
2001-07-01,0.5,1.5,-8.1,4.1,-14.1,-12.5,3.9,-2.6
2001-10-01,0.2,1.9,-13.2,4.8,-17.3,-16.4,3.7,-3.4
2002-01-01,1.4,1.6,-4.6,5.2,-13.6,-11.5,3.5,-4.2
2002-04-01,1.4,2.5,-3.4,4.7,-5.9,-0.6,3.3,-2.9
2002-07-01,2.2,3.1,-1.9,5.5,0.8,4.8,3.2,-2.1
2002-10-01,2.0,2.3,3.3,5.3,3.5,10.9,3.2,-0.8
2003-01-01,1.6,2.6,0.6,4.2,1.9,9.5,3.2,-0.5
2003-04-01,2.0,2.6,0.4,4.4,-1.4,4.2,3.1,-1.0
2003-07-01,3.2,3.4,4.0,3.7,-0.0,3.9,3.1,-0.6
2003-10-01,4.3,3.6,7.7,3.2,6.3,5.5,3.1,-0.2
2004-01-01,4.3,4.0,7.3,3.4,9.9,8.7,3.2,0.8
2004-04-01,4.1,3.6,10.9,2.8,11.9,13.5,3.2,1.2
2004-07-01,3.4,3.0,9.3,3.7,10.1,13.9,3.3,1.6
2004-10-01,3.1,3.4,8.0,3.1,8.3,14.3,3.4,1.7
2005-01-01,3.6,2.9,10.7,2.8,7.4,11.1,3.5,1.4
2005-04-01,3.3,3.4,5.9,2.3,7.4,8.1,3.6,1.9
2005-07-01,3.3,3.4,5.7,2.4,6.7,8.0,3.6,1.5
2005-10-01,3.0,2.7,6.9,2.3,6.7,8.2,3.7,1.7
2006-01-01,3.1,3.1,5.5,2.8,7.9,8.9,3.7,2.4
2006-04-01,2.9,2.6,5.5,3.0,8.6,8.8,3.7,2.1
2006-07-01,2.2,2.3,3.0,2.1,9.1,8.2,3.8,2.4
2006-10-01,2.4,2.4,-2.4,3.1,10.4,2.8,3.7,2.1
2007-01-01,1.2,1.9,-5.4,2.4,7.9,2.1,3.7,1.2
2007-04-01,1.7,2.0,-3.7,2.9,7.8,2.2,3.5,1.3
2007-07-01,2.3,2.1,-3.4,3.8,10.7,2.5,3.4,0.4
2007-10-01,1.9,2.3,-3.6,3.8,10.9,6.1,3.3,-0.2
2008-01-01,1.1,2.0,-6.1,4.7,11.9,8.9,3.2,-0.5
2008-04-01,0.8,2.2,-8.8,5.1,14.9,11.0,3.1,-1.4
2008-07-01,-0.3,1.1,-10.9,5.7,10.9,9.5,2.9,-2.1
2008-10-01,-2.8,-2.4,-17.1,4.4,-5.1,-8.3,2.8,-4.4
2009-01-01,-3.5,-3.6,-26.4,2.2,-19.3,-31.1,2.5,-6.7
2009-04-01,-4.1,-4.2,-32.1,2.5,-24.1,-37.2,2.2,-8.5
2009-07-01,-3.3,-2.5,-31.2,1.6,-18.8,-30.0,1.8,-8.6
2009-10-01,-0.2,0.6,-15.5,2.0,-0.2,-7.5,1.5,-6.0
2010-01-01,1.6,2.3,0.4,2.8,13.8,15.4,1.3,-3.3
2010-04-01,2.7,2.6,12.6,2.0,16.4,21.5,1.3,-0.3
2010-07-01,3.0,1.9,17.7,1.1,14.3,16.8,1.4,1.4
2010-10-01,2.7,2.5,9.4,0.2,12.4,12.2,1.6,1.9
2011-01-01,1.9,2.8,4.7,-1.3,13.0,12.8,1.6,2.0
2011-04-01,1.6,2.8,3.4,-2.1,12.9,12.1,1.7,2.0
2011-07-01,1.2,2.7,0.6,-2.8,11.4,9.9,1.7,2.0
2011-10-01,1.7,2.2,8.6,-2.7,6.3,8.2,1.7,2.2
2012-01-01,2.7,2.0,12.7,-1.4,4.5,5.0,1.8,2.8
2012-04-01,2.5,1.6,11.9,-2.5,2.5,1.4,1.9,2.1
2012-07-01,2.4,1.3,11.0,-2.2,1.4,-0.6,2.0,2.1
2012-10-01,1.3,1.1,3.2,-2.5,1.4,-1.7,2.1,1.8
2013-01-01,1.3,0.9,4.4,-3.4,1.5,-2.6,2.1,1.5
2013-04-01,1.0,0.9,3.2,-3.0,0.9,-2.0,2.1,1.7
2013-07-01,1.7,1.2,6.9,-3.0,1.4,-0.7,2.1,1.8
2013-10-01,2.6,1.6,8.8,-2.4,3.8,-0.4,2.2,1.6
2014-01-01,1.6,1.7,4.2,-1.6,2.6,1.4,2.3,1.6
2014-04-01,2.4,2.5,5.4,-1.2,3.8,2.8,2.3,2.1
2014-07-01,2.9,2.9,4.7,0.0,3.2,2.1,2.3,2.2
2014-10-01,2.5,3.1,4.4,0.2,0.2,2.9,2.3,2.9
2015-01-01,3.3,2.8,8.2,0.5,-3.3,-2.0,2.4,2.7
2015-04-01,2.9,2.6,5.3,1.4,-4.9,-4.5,2.4,2.4
2015-07-01,2.2,2.4,3.4,0.9,-6.8,-4.4,2.5,1.8
2015-10-01,1.9,1.9,1.9,1.2,-8.4,-7.2,2.5,1.5
2016-01-01,1.6,2.0,-1.5,1.3,-6.1,-6.1,2.5,1.6
2016-04-01,1.3,2.4,-3.3,0.2,-5.2,-5.0,2.4,1.5
2016-07-01,1.6,2.5,-3.1,0.3,-0.5,-2.9,2.4,1.7
2016-10-01,1.9,2.9,-0.2,0.3,0.8,1.2,2.3,1.2
